	text	airline_sentiment	at	polarity	label
66	Hoy iberia cumple 90 años de su primer vuelo. Felicidades!!!! AvGeek PasionPorLaAviacion en… 	neutral		0.005458523734731415	0
67	Descubre Shanghai, Vuelo Directo con Iberia, 5 días desde 963€ Tax Includ 	negative		0.6900602533726498	2
68	Los de Ryanair son un poco guarretes jajaja no volaba cn ellos ni aunque me pagaran.  vía 	negative		0.10691712382244803	2
69	"Iberia ampliará sus vuelos semanales a Buenos Aires.
 "	neutral		0.3925813391077337	0
70	" dos asientos juntos. Pueden explicarme si es la nueva política de Iberia para fidelizar clientes? Y si puedo arreglarlo.
Gracias"	neutral	@Iberia	0.0004915102442010947	0
71	Gracias  por el regalazo de navidad! 🎄🎁 Upgrade a Business en un vuelo de 10 horas no tiene precio! 🙏🏻	positive		0.0038986002516143733	1
72	Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas [VIDEO] 	negative		0.6450087684755177	2
73	  Idoya, esperemos que no. Al menos ponen de su parte en solucionarlo :)	neutral	@idoyananin	6.514237179629051e-05	0
74	 Madrid.	neutral	@Ryanair	0.9740997906387266	0
75	 buenas noche🌟🌟 	positive	@Iberia	0.4267441616719659	1
76	 Pues menudo timo    	negative	@Zane_GH	0.0027002200662550493	2
77	  Que verguenza! Dentro de lo malo quedo en un aeropuerto donde maneja el idioma. Que la puedas abrazar pronto.	negative	@SilOsitos	0.008130942813721197	2
78	"Ryanair y United, peores aerolíneas de 2017 según la consultora brintánica Which?
"	negative		0.003306306001280186	2
79	 Pero es la mejor, no se, con Iberia ya había pasado arrechera. Con AA todo fue bello	neutral	@CarlosRierx	0.011706932142507172	0
80	"EL SALVADOR y DIPUTADOS no abren el espacio aereo a las AEROLINEAS como RyanAir 
Mira los precios desde Madrid...
"	neutral		0.666596473555658	0
81	"Ale, a Gatwick.

Iberia, panda de INÚTILES REDOMADOS"	negative		0.46127768308170247	2
82	El viaje de la semana pasada a San Francisco me sirvió para subir de categoría  Plus. Mañana, maleta extra y… 	positive		0.6782050846172082	1
83	  Reclama. El billete tiene seguro.	neutral	@ivan_cortina	0.6895171025265123	0
84	  Madre mía..... mana de gilipollas	negative	@luisangelmate	0.25483087100107643	2
85	 origen del vuelo Turín en avión de Iberia Airnostrum para su conocimiento. Tomen nota 	negative	@AirNostrumLAM	0.2212541647040826	2
86	  ¡Dios mío! Hablando así inglés se parece a las azafatas de Iberia !	negative	@MrGalisteo	0.0027016148206484942	2
87	Iberia regala smartphones a los 200 pasajeros de un vuelo. La Chispa | Revista de turismo  	positive		0.9711088792085146	1
88	  Hoy en el aeropuerto en la ventana de   nadie sabía nada de los vuelos a H… 	negative	@AeroAsturias	0.0008555488434087354	2
89	  Hacemos alcanzable lo inalcanzable Ryanair	positive	@Ryanair_ES	0.3726847435457324	1
90	A qué esperan Renfe e Iberia para suspender todas sus relaciones de transporte con CataluÑa?	negative		0.9944231898230383	2
91	Todo en exceso es malo, menos ¡viajar! HolaEuropa ...Bienvenidos  quiero disfrutar con ustedes de una exper… 	positive		0.12930511812261256	1
92	La aerolínea  tendrá nuevas conexiones en 2018 desde el aeropuerto de Madrid hacia Managua y SanFrancisco 	neutral		0.9999998541877027	0
93	Los pilotos Ryanair en Alemania harán huelga este viernes, la primera en la historia de la aerolínea  vía 	neutral		0.015132324064811823	0
94	Hoy se cumplen 90 años del primer vuelo de  ✈️🎂  vía  Aniversario… 	neutral		0.27825805463643094	0
95	  Claro, como Ryanair q decían q iban de pie y resulta q es la cía que ha tenido q… 	negative	@noticias_cuatro	0.0004832268143175353	2
96	Con el asco que le tenía a  hace años, hoy está siendo todo muy smooth. ¿Me harán cambiar de opinión? 😂	positive		2.4271916375007934e-05	1
97	Ryanair desaloja a varias chicas de un avión por comportarse como “animales” 	negative		0.12862662835243388	2
98	DHL coge el toro de la tecnología por los cuernos 	positive		0.11631695372483158	1
99	Pues vale, molt be, pues adios...  	negative		0.04533587483666613	2
100	La decisión de Ryanair sobre el equipaje de mano que va a enfadar a la mayoría de sus clientes 	negative		0.003659487616621113	2
101	Recibo por mail el resumen de la tarjeta: 150€ por cinco horas de Wi-Fi! Gracias Iberia 😒	negative		0.0007980090651554585	2
102	 fíjate que pasa con la ruta que AA deja hacer a BcN  tiene 94% ocupación pero Iberia fue beneficiada	negative	@ertenembaum	0.0023096942998255764	2
103	The latest El Australiner Diario!  airbus iberia	negative		0.579252389385011	2
104	'Ryanair' bromea con el aeropuerto a nombre de CR7 ¿Homenaje o burla?  20m	neutral		0.9444779990928943	0
105	"Semana155M4
Puto Ryanair !!! Otro vuelo que cancelan..
 "	negative		0.2050375342303462	2
106	“Que pare el mundo que yo me bajo” versión mejorada 😂🤚🏼 	neutral		0.007769769341681427	0
107	Viral | Un pasajero de Ryanair enfadado sale por la puerta de emergencia del avión, cansado de esperar, intento b… 	neutral		0.0077393907654050185	0
108	 Pueden ayudarme con una maleta perdida por iberia? por favor, no hacen nada por buscarla y el telefono de reclamacion es un 901	negative	@facua	0.00024548025220160103	2
109	Llega el primer duelodemarcas de MarketingDirecto: Ryanair vs. easyJet ¿Cuál ganará?  … 	neutral		0.05099135297008566	0
110	 En la opción 3 se puede hacer mediante tarjeta crédito o débito llamando a ese numero que me facilitaron? Y… 	neutral	@Iberia	0.0007863452140656198	0
111	  Le doy RT, pero me parece de cuarta que exigan RT para hacer eso	negative	@Iberia	0.00020572479409762515	2
112	 tenéis suerte de ser los únicos prácticamente que voláis a Melilla porque mi maleta ha llegado 2 días tarde… 	negative	@iberia	0.00012465107262938773	2
113	 Gracias	neutral	@Iberia	0.5533970533999424	0
114	      Que grande! supergex	positive	@Miguelmoralnjo	0.542500383411298	1
115	La mejor presentación que he visto en todos los vuelos la realizada hoy en el IB3878 x su comandante F. Sanz. Felicidades 	positive		0.005257933646014647	1
116	 No, no lo han hecho. Sólo han hecho una pregunta que ya estaba explicado en el mensaje	neutral	@Iberia	1.2424726464861135e-06	0
117	(AsíNoMás) Pilotos amenazan con nuevas protestas en contra de Ryanair en Europa  ▶️ 	negative		0.8862512786960185	2
118	Me resulta difícil de creer que este tipo estuviera en babia respecto del diseño de la CIA para Iberia ejecutado en… 	neutral		0.0012356523710884085	0
119	 puente aéreo de las 8am son las 8:30 y aquí seguimos enganchados al finger... pueden hacer su trabajo y vol… 	negative	@Iberia	0.044458543372893164	2
120	  han volado cn su compañía?1experiencia única xasus pasajeros!!Se l recomiendo xa qtomen note y empi… 	negative	@Iberia	0.1506906446274845	2
121	 Desde el 18 de noviembre envié todos mis documentos por mail y confirme de recibidos	neutral	@Iberia	0.6225747807610051	0
122	El canal Smithsonian reconstruye en vídeo el accidente aéreo de Spanair en Barajas, el más mortífero en España en…… 	positive		0.6604173471017128	1
123	Lo peor del asunto e q  miente. Un día te dicen q ya llegó a Londres y otro q todavía está en Madrid. Creí q eran más confiables	negative		0.00011587683433398485	2
124	Representante de IBERIA anuncia su llegada a Nicaragua durante reunión con representantes de gobierno y del secto… 	neutral		0.3486448287687713	0
125	Viajar con ryanair seria como otra aerolinea cualquiera si no fuera por lo plastas que son con las ventas a bordo y el altavoz a todo taco	negative		3.9091756807581483e-05	2
126	Llego a Santo Domingo y espero mas de una hora por mis maletas, 2, y resulta que como  ha tenido esa escala… 	negative		4.191778905952492e-08	2
127	A por el primero del año! London  	neutral		0.050433295318428974	0
128	Ryanair busca convertirse en el “Amazon de los viajes” desde sus oficinas en Madrid  	neutral		0.9988998292701766	0
129	Los trabajadores de tierra de Ryanair ya no irán a la huelga este 30 de diciembre 	neutral		0.005629433144330747	0
130	 Si siguen mirando el historial, también les contacté hace meses preguntando por esos $2000 que me robaron y nunca me contestaroná	negative	@Iberia	8.646783588580305e-06	2
131	Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡… 	positive		0.07007665747187106	1
132	No contratéis nada con  . Dan un servicio de atención al cliente pésimo y entre ellos e  se… 	neutral		6.498593597372748e-08	0
133	Ryanair retrasa hasta el 15 enero su cambio en la política de equipaje de mano 	negative		0.07032771744604624	2
134	Aquí seguimos  Seguimos esperando. ¿Va a manifestarse alguien? 	negative		0.007844860707108029	2
135	 RT POR FAVOR: PASAJEROS QUE IBERIA LES DEMORA LA DEVOLUCION DEL DINERO. JODAMOSLOS. RETUITEEMOS y COMPARTAM… 	negative	@Iberia	0.00014082894738025732	2
136	 hola! Puedo transportar nutella en mi equipaje? Viajo con Iberia. Gracias!	neutral	@aena	0.01993289480337391	0
137	Hola  al hacer el C/In desde la app, me manda por email la tarjeta en formato wallet pass y no pass book par… 	neutral		0.00021596624794050897	0
138	Esto de las AerolineasLowCost no estará llegando demasiado lejos? 🤪🤪🤪 	negative		0.04611881286270145	2
139	Con  mi destino a un solo click. ¡Deseadme suerte! HolaColombia. Hola 79 destinos europeos al mejor precio 	neutral		0.00694959441669791	0
140	"El personal de tierra de Ryanair en España convoca huelga para el 30 de diciembre

"	negative		0.9876914231008552	2
141	pero vosotros os podéis creer que pago un vuelo de iberia para sentarme en el único asiento roto que tienen????	negative		0.002425972367634877	2
142	Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡… 	positive		0.07007665747187106	1
143	Impresionante la mierda que puede ser a veces viajar con iberia. Cojo el avión con tiempo y reserva de asiento, ll… 	negative		0.12194654133567788	2
144	Creo que lo dejaron queriendo para que los dueños de Ryanair se lo metan por el culo. Merecer se lo merecen...me da… 	negative		1.2983975451981749e-07	2
145	Los pilotos de Ryanair desconvocan la huelga tras ver reconocidos sus sindicatos 	neutral		0.03330094850515318	0
146	        	negative	@algoqrecordar	0.49789225920557484	2
147	Iberia expandirá en verano su frecuencia de vuelos a PuertoRico  	positive		0.5428069435837972	1
148	"14 de septiembre de 1927
 inaugura la linea aerea Madrid-Barcelona
Felices 90 años volando
Por muchos mas "	negative		0.8656257697372064	2
149	 RT POR FAVOR: PASAJEROS QUE IBERIA LES DEMORA LA DEVOLUCION DEL DINERO. JODAMOSLOS. RETUITEEMOS y COMPARTAM… 	negative	@Iberia	0.00014082894738025732	2
150	Con  mi destino a un solo click. ¡Deseadme suerte! HolaColombia. Hola 79 destinos europeos al mejor precio 	neutral		0.00694959441669791	0
151	 Chrome 56, y las ultimas versiones de Firefox y Safari (Mac). La web principal no inicia sesión después de… 	negative	@Iberia	0.008461346651305598	2
152	 si no me responden los demandao, LEVEL es la peor porquería e IBERIA NO se hace cargo	negative	@Iberia	8.080328937901421e-09	2
153	 hola puedo sumar km con los vuelos de Iberia? En la página no me permite adresse pendientes	neutral	@LATAM_ARG	0.00039383439146839234	0
154	 no puedo viajar la vuelta ni avisando que no puedo volar la ida. Alguna solución para algo que les genera cero perjuicios? Gracias	negative	@iberia	8.832309271231899e-08	2
155	Así agradece Iberia a sus tripulantes que vuelen el día de Navidad alejados de sus familias...1 triste paquetito de… 	negative		0.00025454884649129617	2
156	Ryanair analizará con el Consell las ayudas a otras firmas y prevé crecer un 50 % en València  vía 	positive		0.858157799381416	1
157	LogiNewsEs: Iberia lanza nueva ruta a Managua en octubre de 2018  	negative		0.16267825881585493	2
158	 Hola iberia!!! Que justo el corte de vuelos a barcelona. Mmmm	negative	@infobae	0.3120118376506642	2
159	Gracias  por vuestra maravillosa organización y por la media hora de espera de nuestras maletas, y aquí segu… 	negative		8.618000421826397e-06	2
160	 Y el sentido común es jamás elegir a Iberia para tu viaje.	negative	@iberiaexpress	0.04116597114177668	2
161	 De verdad, a sinvergüenzas, timadores y caraduras no les gana nadie.	negative	@Ryanair	6.0405505238506334e-05	2
162	Ryanair reconocerá a los sindicatos de pilotos como interlocutores 	positive		0.2424387752496184	1
163	   Te felicito Jose.	positive	@jri2	0.3385252644667176	1
164	"   Pero que eso tiene fácil solución. Pagas más y vuela con otra compañía.

A m… "	positive	@hookerdiferente	0.0026864489177367596	1
165	  Eso es así!!! Pero es por la proximidad en el teclado, eh??	negative	@BuscandoaCochet	0.006300354621408995	2
166	 Si fuerais animalistas lo haríais sin más. No por 2000 RT. Eso sí, a los 150 pasajeros del vuelo  	negative	@Iberia	0.005380387362894871	2
167	 hoy me comunican, a las dos y algo de la tarde, que no hay otra opción que no sea volar el día 28 (MAÑANA!).	negative	@Iberia	8.121494652526364e-09	2
168	  lo criticamos, pero luego todos volamos en low cost...dudo que un piloto o tripulación de… 	neutral	@Iwa_saru	0.01330109852895443	0
169	Lufthansa arrebata a Ryanair el liderazgo en pasajeros en Europa 	neutral		0.9672430303394854	0
170	" Si! Si! Es verdad!!!!
MeGustaVolar 
megustavolariberia"	positive	@Iberia	0.07334357123996414	1
171	" Pues nada, que ni una respuesta, os laváis las manos y al cliente que le den... 
  Iberi… "	negative	@Iberia	3.443538186131232e-09	2
172	 Lo he hecho tres veces ya, enviando un correo a la direccion indicada oexvy  y nunca obtuve resp… 	negative	@vueling	0.000665746623357956	2
173	Me pregunto si alguien de IBERIA o  Air Canada estarán buscando mi maleta o estarán tranquilamente preparándose para nochevieja.	negative		0.012302547047196723	2
174	 Quería saber si es verdad que el IB6673 del 07/12 hace escala en SDQ antes de llegar a CCS. Cuando compré e… 	neutral	@iberia	6.445921790268553e-05	0
175	"     Hay un vuelo desde Madrid el viernes a las 12h.
Sale ida y vuelta unos 200€"	neutral	@jaumeleiva	0.9992275845906672	0
176	Llamen a estos que la CGT esta en cualquiera. 	negative		0.02669963715844656	2
177	  A veces me ha pasado. Incluso reservar con  agencia (logitravel) y me cancelaron el viaje porque no podían coger esa tarifa..	negative	@wicho	9.880590553176783e-06	2
178	Ryanair tarda menos de dos horas en amargar la oferta aniversario de Iberia Express 	positive		0.025099052431423255	1
179	Le dan ideas a Volaris,  Vivaaerobus y Calafia 	negative		0.08728743212610274	2
180	Señores de  intenten entender el motivo de mi reclamación antes de emitir respuestas estándar. No debo pagar… 	negative		0.0001242801266240874	2
181	marketing Llega el primer duelodemarcas de MarketingDirecto: Ryanair vs. easyJet - Nuevo año, nuevos proyectos. E… 	neutral		0.06447454030615946	0
182	    Ahora además han sacado la movida esa de Level, así que igual han… 	neutral	@diana_twittea	0.0035381157892916495	0
183	La matriz de Iberia y British Airways quiere subirse a bordo de la aerolínea Niki  	neutral		0.2388608896071445	0
184	 Q es un servicio esencial? De ahora en adelante cualquier paro será calificado así se acabó el derec… 	negative	@JuanManSantos	0.08765681566916532	2
185	 Espero que se resuelva en tema cuanto antes Gracias	negative	@Iberia	0.0032758212272246223	2
186	 No puedo volver a los asientos gratis porque parece que está lleno el avión y los que íbamos a coger no est… 	negative	@Iberia	5.2979260784651905e-05	2
187	 HolaArgentina quiero viajar con 	neutral	@Iberia	0.5447822532409677	0
188	  Tampoco tienen en cuenta, al asignarte asiento las preferencias que tiene el viajero en su… 	negative	@aguilar_adolfo	0.0015088796026954225	2
189	 Pues de momento siguen sin aparecer y son artículos que necesito, así que si mañana no sé nada, buscaré car… 	negative	@Iberia	1.6200268496541573e-05	2
190	Podium Podcast e Iberia se alían en la ficción sonora 'Aerolínea Momentos' 	neutral		0.26600334523404895	0
191	Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas [VIDEO] 	negative		0.6450087684755177	2
192	  El propio montaje jajajajaj	neutral	@cpierottil	0.4758632420460306	0
193	"fraude Denuncian a Ryanair por ""fraude de ley como una casa” "	negative		0.19279299209071896	2
194	 Un dato los canteranos lo pasaron mal cuando jugaron con Cobresal e Iberia en copa Chile...debe venir… 	neutral	@verdesuecia	0.0007364370081411866	0
195	Lo de  con los avios es de una cara como el cemento armado	negative		0.005256402897154756	2
196	Ryanair busca convertirse en el “Amazon de los viajes” desde sus oficinas en Madrid. Ryanair ya ha inaugurado sus o… 	positive		0.9922206179687542	1
197	 me parece mal q el servicio de atencion al cliente con respeto a reclamaciones se este gestionando tan lent… 	negative	@Iberia	5.340440378320313e-06	2
198	 En el call center no atiende nadie!!! Me canse de llamar!!!! Necesito q se contacten conmigo para solucionar este problema!!!!	negative	@Iberia	0.00021174056723822837	2
199	Primer duelodemarcas: Ryanair vs easyJet  vía 	negative		0.8831352880871016	2
200	  Pues a mi les reclame un daño en mi equipaje y no me hicieron ni caso por no rellenar un formula… 	negative	@robinfood	1.5123712819926493e-07	2
201	  21 días para darte una respuesta sobre un dinero que no deberían haberte quitado? Y cobrar 2… 	negative	@ConchiiSnchez	1.895299515537478e-06	2
202	  Hola, problema técnicos? Qué ocurre? 	negative	@Iberia	0.018171435395225363	2
203	Por un retraso de una hora de   en Stanstead, mi novio no llega a su conexión en  	negative		7.796148963230907e-06	2
204	Cansado de esperar, un pasajero sale y se sienta en el ala de un avión 	negative		0.004694975336376935	2
205	No hay nada como unas galletas de Palencia para acompañar  AguilarDeCampoo 	positive		0.003160353708318596	1
206	¿Están regalando billetes de avión o qué pasa? Todos las historias de intagram de billetes de ryanair.	neutral		0.05403019160949869	0
207	 La gente obesa no hace dieta ni para salvarse la vida, obviamente no lo harán por los pasajeros de… 	positive	@mauricioperdav	3.149251524048392e-07	1
208	  ¡De este fin de semana no pasa! 😍😍90AniversarioIberia  	neutral	@Iberia	0.46204914009360387	0
209	Un hombre desespera y escapa de un avión de Ryanair por la puerta de emergencia  	negative		0.05752035308124644	2
210	Vuelo asturias madrid no dejan subir equiaje de mano a viajeros a madrid iberia ocu FelizJueves sinvergüenzas	negative		0.994194549960986	2
211	Nueva ruta a Copenhague para volar desde Sevilla con Ryanair en marzo  	positive		0.26301180838601096	1
212	Cuando te toca volar con Ryanair OTGala9 	negative		0.15978312017314578	2
213	Famoso  por sus desastres en Servicioalcliente En mi caso me hizo perder una importante conferencia por can… 	negative		0.004988873720144815	2
214	Con  mi destino a un solo click. ¡Deseadme suerte! HolaArgentina. Hola 79 destinos europeos al mejor precio 	neutral		0.00694959441669791	0
215	"Super utile😊
ryanair viaggiare meetworld "	positive		0.7704927801065807	1
216	Después de 25 minutos de espera al 901 de iberia y que te digan que no soluciona tu problema no tiene precio......… 	negative		1.3745808233881018e-07	2
217	Si súper puntual 🤣🙄 	positive		0.6521956383320472	1
218	Iberia tendrá más vuelos semanales entre San Juan y Madrid  	positive		0.9633716445703099	1
219	 Quieres que te envié un mensaje directo. Estoy intentando comprar billetes y llevo 2 horas esperando respue… 	negative	@Iberia	0.0016345957752830953	2
220	 Vuelo 3162 Madrid-Londres gracias	neutral	@Iberia	0.9860310890563594	0
221	Iberia recibe un nuevo avión A330-200 y lo bautiza como “Santo Domingo” 	neutral		0.26369326724787545	0
222	Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas [VIDEO] 	negative		0.6450087684755177	2
223	Con  mi destino a un solo click. ¡Deseadme suerte! HolaColombia. Hola 79 destinos europeos al mejor precio 	positive		0.00694959441669791	1
224	  RT POR FAVOR: PASAJEROS QUE IBERIA LES DEMORA LA DEVOLUCION DEL DINERO. JODAMOSLOS. RETUITEEM… 	negative	@Iberia	0.00014082894738025732	2
225	         	neutral	@Canaryfly_	0.49789225920557484	0
226	Oleada de huelgas en Ryanair estas Navidades 	negative		0.26575190307393926	2
227	 Feliz año nuevo IBERIA.	positive	@Iberia	0.707749064991494	1
228	    De acuerdo, pero esto lo debían tener en el cálculo de co… 	neutral	@SANDOKANVAN	0.007329072249181971	0
229	Tarifa low cost por supuesto 	neutral		0.08068018467143494	0
230	 Se como funciona el tema de un equipaje perdido, me sorprende que la prioridad en este caso, no sirva de na… 	negative	@Iberia	4.7810913039391344e-05	2
231	Las mejores ofertas de empleo IT de España: Endesa, Mercadona y Ryanair 	negative		0.9899031899541356	2
232	 Muchas Felicidades🎂 y a seguir volando muy alto!!!🎉	positive	@Iberia	0.49973187967821103	1
233	 una verguenza hay que hacer check in online desde pais destino xq vuestra web no funciona gracias x corregir nada	negative	@iberia	0.007046577852019739	2
234	La maravillosa aventura de viajar en avión con la bici, capítulo 2637473930. 	negative		0.891665108096762	2
